تصميم	determination - design
انهيار	Collapse
خَروف، خِراف	Lamb
خُرافة	Myth, superstition
تَماهي	Alignment, identification with
بَخْض التصعيد	De-escalation
إنْضَمّ إلى	Join
خاتِم، خواتِم	Ring
خَلّْ	Vinegar
الجدري	Smallpox
أَضْحى, يضحو	To become
أَمسى	To become
فكاهة	Comedy
نوعية	Quality
وَعاء	Bowl
إنتمى الى	Belong to, be related to
اثرى	Enrich
نَدْرة	Scarcity
عُشْب	Lawn, grass
أَلِفَ	Be familiar with
قياس	Measure, measuring
مِقدار	Amount, quantity, degree
تطلّب	Require
استعباد	Slavery, enslavement
عَبَثا / عابِثا	In vain
بَغْتَةً / مُباغِتا	Suddenly, surprisingly
زَرافاتٍ	In groups
وَحْدَهُ / وَحدَها	On its own, alone
وَجْهاً لِوَجْهٍ	Face to face
قُبْعة	Hat
شرعية	Legitimacy
قضية، قضايا	Cause
إغْواء / -ات	Temptation
تجَنَّب	To avoid
مُنضَبِط	Disciplined
تدبّر	Manage, handle, sort out
تنمّر	Mobbing
قُـرصان، قَراصِن	Pirate
درب/دروب الذكريات	Memory lane
خَسارة، خسائر	Loss (Rel فقدان، هزيمة)
مَلْعون	Cursed, damned, bloody, goddamn (From لَعَنَ، يَلْعَنُ، اللَعْن، to curse)
شعوذة	Sorcery, witchcraft
أُفُق، آفاق	Horizon, prospect
خَنَقَ، يَخْنُقُ، الخَنْق	Strangle, suffocate, stifle
حُكْر على	Limited to, exclusively reserved for, monopolized by
طَرَّزَ	To Embroider
طَرْز، طُروز	Type, model, make, brand (Also طِراز، طُرُز/اطْرِزة)
أطْرَش، طرشاء، طرش	Deaf
أخْرَس، خرساء، خرس	Mute
أَعْمَى، عَمياء، عُمُى/عُميان	Blind
عِجْل، عُجول/عَجَلة	Calf
مؤسسة غير ربحية	Non-profit (foundation/organization)
دليل	Guide
دَرْب/ دَرْبات الجَزاء	Penalty (football)
رمية	A throw (Football: رمية تماس، رمية جانبية)
الاجهاض	Abortion
ميزة	Advantage
تصدى	Save, stop (eg keeper in football)
دربات الترجيح	Penalty shootout (Also ركلات الترجيح)
رِكْلة، -ات	Kick
امر مبتذل	Cliche
تسريب	A leak
قياسي	Record (adj) (وقت قياسي، عدد قياسي)
أَحْرَزَ	"Obtain, achieve, keep ( يأمل من خلالها أن ""يُحرز تقدما لاحتواء هذه الأزمة)"
رُبْع النهائي	Quarter final
على ما يرام	As well as one could wish Fine, all right, ok
غيث	Rain
كَلَأ، أكلاء	Grass, pasture
تَسَرَّبَ	Leak, flow, infiltrate
دَثَرَ، يَدْثُرُ، الدُثُور	Be obliterated (Syn: إندثر)
تدبير	Planning, organization, management
صِهْرِيج، صَهاريج	Cistern, large container
أُسطول، أساطيل	Fleet, squadron
ضَهَدَ، يَضْهَدُ، الضَهْد	Oppress, persecute
غَلْغَلَ	Penetrate, insert
تغلغل	Go quickly, get far, enter
لا يَمُتّ بِصِلة	Bears no link to
عَصا، عُصِيّ	Stick, staff, rod
عالِق	Stuck, trapped
مَغمور	Submerged, immersed, submarine
الفيضان	Flood
حافة	Edge, verge, brink, ledge
على أَحرَّ من الجَمْر	On pins and needles, waiting anxiously (جمر = embers, live coal)
باحة	Yard, court, lot
فناء	Courtyard
المعتنى به	Taken care of, well-kept
إعتناء	Taking care of, looking after
سَحَقَ، يَسْحَقُ، السَحْق	Annihilate, crush
غَرَزَ، يَغْرِزُ، الغَرْز	Insert, stick, plant
إستأصل	Root out, exterminate, annihilate
أَفْعىً، أَفاعٍ	Viper, snake
خُبْث	Wickedness, malignancy
دُهاء	Smartness, slyness, cunning
مَهَلَ، يَمْهَلَ، المَهْل	Tarry, take one’s time (امهل = give someone time)
دَرْبة حُرّة	Free kick
رَيْب	Doubt (لا ريب فيه، بلا ريب)
زِمام، أَزِمّة	Rein, nose rope (بِزِمامِهِ = under his supervision)
رُكام	Pile, heap, clouds
تعمير	Construction
أكْذوبة	A lie
قَصّاص	Storyteller
أدْجَلة	Ideologization
خَصْم، خُصوم	Opponent, adversary
إسراف	Extravagance, exaggeration
أضْمَرَ	Hide, conceal
أتْقَنَ	Perfect, master, know well
مُرادِف	Synonym
تَضاد	The opposite of (ما هو تضاد كلمة ااا)
خَرَبَ، يَخْرِبُ، الخَرْب/الخِراب	Destroy, ruin
خِرْبة	Ruins
خُرْبة	Hole
لَحْن، ألْحان	Grammatical mistake; melody
وَسَخ، اوساخ	Dirt, filth
ضَئيل	Tiny
ذُيوع	Spread, dispersion
مَهْجَر	Diaspora (Syn. شَتات)
ذاع، يَذيع، الذُيوع	To spread
إرتشاف	Sipping, drinking
أفاويق	Milk, benefactions, kindness
عَطَسَ، يَعْطِسُ، العُطاس	Sneaze
سَرَدَ، يَسْرُدُ، السَرْد	Pierce, continue, tell, narrate
قِمار	Gambling (Syn. مَيْسِر - [name of game])
مَيْسَرَة	Prosperity, wealth
قَحْط	Drought, famine
قَبيح	Ugly, repulsive
إمْلاق	Poverty
تَبَرُّح	Making oneself pretty (women)
كَسى، يَكْسى، الكسى	To dress, clothe
فاحِشة، فَواحِش	Fornication, prostitution, promiscuity
سَلْب	Plundering, robbing
نَهْب	Robbery, plundering
تَفِه	Trivial, small
منصوب	Raised, erected
نَصَبَ، يَنْصُبُ، النَصْب	Raise, erect
مَتَّنَ	Strengthen, make firm
قِرىً الضيف	Hospitality
نَكَثَ، يَنْكُثُ، النَكْث	Breach, violate
خَفَرَ، يَخْفُرُ، الخَفْر/الخِفارة	Watch, guard, protect
خَفِر	Shy
جَنابة	Major ritual impurity
مُداومة	Perseverance
دربة ركنية	Corner (football)
لَعْنة	Curse
إستنجاء	Delivery, escape, being saved
قلّم	Clip, trim (eg nails)
أُظفور، أظافِر	Nail
نَتْف	Plucking, tearing out (eg hair)
تَهَيَّأَ	Be prepared for
هَيَّأَ	To prepare
خَليل	Friend (Also epithet of Abraham)
قِدْح، اقداح	Arrow used for devining
مَنْكِب، مَناكِب	Shoulder, side, flank (Topographic: highland, upland)
لُقْمة، لُقَم	Bite, mouthful, tidbit
إنصرف	Leave, abandon, be spent (money)
أغْدَقَ	Give bountifully, bestow liberally, shower
غَديق	Copious, abundant
طاق، يطوق، الطوق	Be able/capable, be in a position to, bear
جَنِين، أَجِنّة	Fetus, embryo
غَمُرَ، يَغْمُرُ، الغَمارة	Be plentiful, abundant
هَشّ	Fragile, brittle (Syn. هَشاش)
بقاء	Survival
فَرش، فُروش	Furnishing, household effects
صَوْمَعَة، صَوَامِع	Monk’s cell, hermitage
راهِب، رَبهان	Monk
غَمَّ، يَغُمُّ، الغَمّ	To cover, conceal; to pain, distress
جَذَبَ	Pull, draw
ضَمّ	Bring together
إعْتَصَمَ	Cling, adhere
قَذَر، اقذار	Impurity, uncleanliness
عَوْرة	Deficiency
عَوْرات	Genitals
أَزار، أُزُر	Loincloth, cover
دِيّة	Blood money
فَضْل، فُضول	Surplus, excess, waste
بَريق	Glitter, shine
بَديع	Wonderful, unique
بِضاعة، بَضائع	Goods, merchandise
حيرة	Confusion
وَهَبَ	Give, grant
حَرير	Silk
اَوْشَكَ على	Be on the verge of, be about to (Rel. على وِشْك أن)
جارِف	Torrential, stormy, violent
إضْطَرَّ	Force, compel, coerce
فَلَقَ، يَفْلِقُ، الفَلْق	Split, cleave, tear asunder
عَضَّ, يُعَضّ، العض	To bite
رُفات	Remains
حَوْزة	Possession, custody
حافِل ب	Full of, replete with تاريخ حافل ب = a long history of
قَطَفَ	To pick (eg flowers)
قَطَّرَ	To distil
قَوْس قُزَح	Rainbow
انفعالي	Emotional, sentimental
تفطّن	Realise, figure out
منعرج	Critical juncture, crossroads, turning point
ناموس، نواميس	Law, honour, cunning
وَسَمَ	To brand, mark
تَوَسَّمَ	Scrutinize, watch closely
جَهَرَ، يَجْهَرُ، الجَهْر	Appear, declare publicly
صَدَعَ، يَصْدَع، الصَدْع	Crack, break (st) (متصدِّع = fragile)
ابْطَح	Flat, level
رَمْضاء	Sun-baked ground
حَرْبَة، حِراب	Lance
عِفة	Abstinence, virtue, honesty
تَنكيل	Desecration (of bodies)
لَوّى	Bend, twist (تلوية)
ذراري	Women
حِصْن، حُصُون	Fortress
صياغة	Crafting, craftsmanship, wording
نَفَقَة	Expense, cost
نقمة	Curse
نَبْل، نِبال	Arrow
شَطَرَ	To cut/sever, be clever
اَجْلى	Expel
نَدَبَ	Appoint, commission, entrust
سَفَح	Summit, top
مِعْوَل، مَعَاوِل	Pickax
مَكيدة، مَكائد	Ruse, deception
جَزِعَ	Be anxious, worried
غَليظ	Thick, solid, crude
طَمَعَ	To covet, desire
طَمْع، اطْماع	Greed, desire
نَقْض	Breaking, violating (treaty)
مناوشة	Skirmish
نَخيل / نَخل	Palms, date palms
ذِمّة	Protection
أداء	Performance, execution (of rituals) (Syn تأدية)
ادّى	Perform, carry out, cause
اِراقة	Shedding, spilling
تَخاذَب	Contend w one another, pull back & forth
إتاحة	Providing, giving
سَرَى، يُسْري، سري	Set out, flow spread
اقتدى	Emulate, imitate
نَصيب، انصباء	Share, participation, luck, fate
هَيْبة	Prestige, dignity
أذى	Harm, hurt
تربّص	To stalk
شَوكة	Power, might (and fork)
تنازل	Concede, make concession
إقتطاع	Deduction, reduction
صَنيع	Action, act, deed
إجحاف	Inequity, unfairness
ثاقِب	Penetrating, insightful
جَوْر	Injustice, tyranny
دَنِيّة	Disgrace, infamy
مَنْعة	Resistance, power, force
مُدَرَّع	Armoured
تَعُون	Plague, pest
سادِن	Servant
ميمنة	Right side
ميسرة	Left side
بَغْلة	Female donkey
طَليق	Free, fluent
وَبّخَ	Scold, reprimand
بَلْبَلة	Chaos, mess
مَعْشَر	Crowd, people
مُفارقة	Paradox
استخفاف	Dismiss, not take seriously
باسل	Strong (n. بسالة)
سَكّ	Brandish (sword), take out of sheath
غِمْد	Sheath
بأس	Strength, courage
بَطْش	Strength, force, oppression
حسب حسابا ل	Be afraid of
باغت	To surprise
شَحَذَ	Hone, strengthen (also: ask for alms)
شَحّاذ	Beggar
جِدْرية	Graffiti
ضَريح، أضْرِحة	Mausoleum
زائد	Plus
ناقِص	Minus
مَرْمى حَجَر	Stone’s throw
وَتَخَلَّل	During
هَدِى	Sacrifices
دابة	Steed, hoofed animal
حافِر	Hoof, clove
حُفّ	Camel’s hoof
رُجْحان	Preponderance (eg of evidence)
تأمّل	Contemplate, reflect, look attentively at
أبْلى	Do well in
استحوذ على	Overwhelm, overpower, seize
فَزْع	Fear, fright
ميثار	Inheritance, heritage, legacy
مُتَجَانِف ل	Inclined toward
مُتَوَرِّط	Involved, entangled in
مُتَصَدِّع	Fragile, brittle, full of cracks
حَطَل	Idle talk
لَفْظي	Verbal, oral
أخَلّ	Violate, fail to fulfil
استنتج	Infer, conclude
إمْتِصاص	Absorption
مُرونة	Flexibility
اكتسى	To Cover
زَوبَعَة	Storm, hurricane
حُمّى	Fever
مَشَقّة	Hardship, trouble
ضَنْك	Poverty, distress
عُسْرة	Hardship
شَحيح	Stingy, scarce, meager
قَتّات	Slanderer
عَجَنَ	To knead
عَجينة	Dough
عجين	Batter, paste, pasta
فَضَحَ	Disclose, uncover
هَرَقَ	Pour out
مُراهَنة	Bet, wager
رَهينة، رَهائن	Hostage
قَرَصَ	Pinch, sting
خَلّفَ	Produce a child (Syn انجب)
شيخوخة	Old age
تلقيح	Inoculation, vaccination (التلقيح الصناعي = artificial insemination)
حلّق	Fly, soar
خَشِن، خِشان	Coarse, crude, (masculine)
تَفاهة	Nonsense, silly talk
مَزَحَ	To joke
لان، يلين، اللين	Be(come) soft (لَيَّن = to soften)
كياسة	Courtesy
غَرَسَ	Instil, inculcate
شُغَف	Passion
علّل	Justify, explain (Also: occupy, keep busy)
اذعن	Give in, yield, concede, declare
جَسيم	Serious, gross, major
نشوة	Euphoria, trance, elation
قَطَن، يَقْطُنُ، القُطُون	Reside, dwell, live
ساحرة	Witch
رَقْمي	Digital (الفضاء الرقمي = digital space)
توّج	To crown
تاج، تيجان	Crown
نَبَشَ، يَنْبُشُ، النَبْش	Exhume, dig up (E.g Corpse, grave)
تقلّص	Diminish, contract, erode
وَرْطة	Plight, trouble, predicament, quagmire
إحْجام	Reluctance reticence
تطرّق الى	Touch upon, raise (issue)
تسلية	Fun, entertainment
مَجْهول	Anonymous
صاري، صواري	Mast
ريثما	Until
زَجّ، يَزُجّ، الزَجّ	Throw, push, squeeze زُجَّ به في السجن = be thrown into prison
تأويل	Interpretation
خانة	Box, category, column
تحريف	Distortion
إسْتَلَم	Receive, get
سُتْرة	Jacket, vest
صارم	Strict
دَهانة	Paint
دَرء	Warding off, prevention
تَسْيير	Conduct, management
اخْضَع	Subdue, subjugate
مَشَّطَ	To comb
شَنيع	Ugly, repulsive
لان، يَلين، اللين	Be soft
لَيَّنَ	To soften
أَبَى	Refuse
أَقْبَلَ	To come
فاقد الواعي	Unconscious
مُغْشي	Unconscious
خُرافي	Mythical (Rel. وهمي)
تَحَرَّجَ	Be sorry, embarrassed
مُحْرِج	Sorry, embarrassed
مَرِن	Flexible
أنْصَفَ	Be objective (إنصاف = objectivity)
خَنْجَر	Dagger
مُتَفاعِل	Cooperative
مُباح	Allowed, permissible
أفُلَ، يَأْفِلُ، الافول	Decline, sink (افل نجمه)
عَبّى	To fill
صَليل	Sound of sword
مَفْعول	Effect (Rel تاثير)
يَافِع	Young
إيهام	Deceiving, deception
بُرْقَع، بَراقع	Burqa
حِسان، أحْسِنة	Horse
فِيل، فِيَلَة	Elephant
تَرَوِّي	Caution, prudence
مَدَحَ	To compliment, praise
اثنى على	To praise
اثنى عن	To prevent
ثُغور	Periphery
ارض السَوَّاد	Iraq
إمداد -ات	Reinforcement
حَذَفَ	Delete, remove
إراحة	Move, displace
زُمُرُّد	Emerald
نُفوذ	Influence
استفحل	Increase, deepen, worsen
مُشَرّد	Displaced, homeless (person)
شَرَّدَ	Displace
عبودية	Slavery
سياط / سوط	Whip
افضلية	Preference
رَماد	Ash
رَؤوف	Merciful (From رأف = show pity)
سَخى، يسخي، السَخاء	Generosity
قَسَم، اقسام	Oath (قَسْما ب - I swear)
عسّ	Patrolling by night
رَعْية، رَعايا	Subjects, citizens
فِراسة	Acumen, intuition
زَيَّف	To fake (مزيف = fake)
تَهافُت	Inconsistency
مارِق	Apostate, deserter
مَيَّزَ	To discriminate
مَظَلّة	Umbrella
تَبَخَّرَ	Evaporate
لِثَام	Veil (Half of face). مُلَثّم
كَساد	Economic depression
وَجَلَ	Fear greatly
مِثالي	Idealist (n), ideal, idealistic (a)
كِهانة	Metaphor
طَمَسَ	Erase
قُدْوة	Model, exemplar
تَجْريدي	Abstract
وَعْكة	Illness
خِمار	Face veil/cover
اصالة	Authenticity
زَغروتة	Zaghruteh
نَكْد، انكاد	Misfortune
كَشَّرَ	Smile, grin (bare teeth)
حَطَب/احطاب	Firewood
مُنْهَمِك	Engrossed, absorbed
تَفَكُّك	Fragmentation, breakup
فَكَّ	To disconnect
علامات التنصيص	Quotation marks
فَلتة	Unexpected event
لَغَطَ	Be noisy, shout
زُبْدة	Essence/gist, butter
مختبر	Lab
ريشة، ريش	Feather
جسامة	Volume, size
مَسَحَ	Erase
سِتار، سُتُر	Veil, curtain
إقصائي	Exclusionary غير اقصائي = inclusive
هالة	Halo, aura (محاط بهالة)
وَصْم	Stigmatization
اضطهادات	Persecution
تساهل	Leniency, tolerance
فضلا عن	In addition to, moreover
ناجم عن	Caused by
مَهارات	Skills
جاذب	Attractive
كَبَحَ، يَكْبَح، الكَبح	Rein in, curb, restrain
استرداد	Recovery, restitution, reimbursement
مرتزقة	Mercenaries (مرتزق)
افسح المجال ل	Make room for
خطيئة، خطايا	Sin
متاخم ل	Adjacent to
جحافل	Hordes
باءَ	To fail
حصين	Immune, impregnable
حوض	Basin
قلعة، قلاع	Castle
اقتراع	Polling, voting
وَقِح	Rude, shameless
جازَفَ	To risk, dare
اجتاح	Invade
اِسْتَوْلى على	Take control of
إلْتَحَمَ	To clash, confront one another
تَضَعْضَعَ	Retreat (from battle)
مُناوَرة	Skirmish
زَحْزَحَ	Advance (troops)
إحتمى	Be protected, find protection
على التوالي	Continuously
إلْهام	Inspiration
تِكرار	Repetition
انتعاش	Revival
معزول	Isolated
استرخى	Relax
شَمَعَة، شمع/شُموع	Candle
سُلَّم	Ladder
شذوذ	Anomaly, abnormality
جَنَحَ	Lean toward, deviate
زَخْم	Momentum
مِحْوَري	Pivotal
طَفْرة	Boom, surge
رَوّجَ لِ	Promote, advocate
ّمُسْتَهَل	Beginning of
على حينِ غِرّة	By surprise
تغريدة	Tweet
غَرَّدَ	To tweet
المَرّيخ	Mars
الزَهرة	Venus
عُطارِد	Mercury
المشتري	Jupiter
زحل	Saturn
اشكالي	Problematic
مُسْتَنَد -ات	Document
مِلَفّ -ات	File
تقويض	Undermining, erosion
لعاب	Saliva
مُثْمِر	Productive (Syn منتج)
اشاعات	Rumours (Also شائعات)
خامِل	Dormant, inert, passive
زي رسمي	Uniform
اَوْشَكَ	Be about to
بُقْعة	Stain
نِسْوِيّة	Feminism
مُصَلّى	Prayer hall
اهمال	Neglect
قطيع	Pack (of animals)
مُعْدي	Contagious
تِلقائي	Automatic
إلْتقط	Capture, catch
حَكّ	To scratch
حوط, حيطان	Whale
تَراكُم	Accumulation
مَرْموق	Regarded, notable (رمق = to regard)
تصريح امني	Security clearance
اقتراض	Borrow (money)
توفير المال	Saving (up) money
املس	Sleek, smooth
مجعّد	Curly
نَبْرة	Voice, tone
متقاعد	Pensioner, retiree
انقراض	Extinction
دَشَّنَ	Launch, inaugurate
تعزير	Strengthening, promoting
مدبغة	Tannery
التقط	Detect
انفصام	Disconnect
فجوة	Gap, divide
مزيج	Mix, amalgam
مزج	To mix
الحِس الفُكاهي	Sense of humour Also حس الفكاهة
تقليص	Shrinking, making smaller
سرطان الثدي	Breast cancer
مبيض, مبايض	Ovary
تَعَسُّفي	Arbitrary
مكفوف	Blind
إباحي	Pornographic, erotic
قُمامة	Rubbish, trash
قَمْل	Louse, lice (collective; sg -ة)
